1.218265f, 0.316146f, 0.086708f,
1.146893f, 0.316146f, 0.065459f,
-0.059727f, 0.363638f, 0.019775f,
0.052737f, 0.387384f, 0.082741f,
0.165201f, 0.411129f, 0.145708f,
-0.049921f, 0.387384f, 0.019158f,
0.05764f, 0.399257f, 0.082433f,
0.165201f, 0.411129f, 0.145708f,
-0.040116f, 0.411129f, 0.018541f,
0.062542f, 0.411129f, 0.082125f,
0.165201f, 0.411129f, 0.145708f,
0.165201f, 0.411129f, 0.145708f,
0.052737f, 0.387384f, 0.082741f,
-0.059727f, 0.363638f, 0.019775f,
0.340398f, 0.363638f, 0.208323f,
0.140336f, 0.363638f, 0.114049f,
-0.059727f, 0.363638f, 0.019775f,
0.340398f, 0.363638f, 0.208323f,
0.404593f, 0.387384f, 0.219713f,
0.468787f, 0.411129f, 0.231102f,
0.2528f, 0.387384f, 0.177016f,
0.360793f, 0.399257f, 0.204059f,
0.468787f, 0.411129f, 0.231102f,
0.165201f, 0.411129f, 0.145708f,
0.316994f, 0.411129f, 0.188405f,
0.468787f, 0.411129f, 0.231102f,
0.468787f, 0.411129f, 0.231102f,
0.404593f, 0.387384f, 0.219713f,
0.340398f, 0.363638f, 0.208323f,
0.603419f, 0.363638f, 0.206843f,
0.471909f, 0.363638f, 0.207583f,
0.340398f, 0.363638f, 0.208323f,
0.603419f, 0.363638f, 0.206843f,
0.64332f, 0.387384f, 0.196403f,
0.683221f, 0.411129f, 0.185963f,
0.468787f, 0.411129f, 0.231102f,
0.576004f, 0.411129f, 0.208533f,
0.683221f, 0.411129f, 0.185963f,
0.683221f, 0.411129f, 0.185963f,
0.64332f, 0.387384f, 0.196403f,
0.603419f, 0.363638f, 0.206843f,
0.742295f, 0.387384f, 0.158698f,
0.672857f, 0.375511f, 0.182771f,
0.603419f, 0.363638f, 0.206843f,
0.80137f, 0.363638f, 0.131434f,
0.702395f, 0.363638f, 0.169138f,
0.603419f, 0.363638f, 0.206843f,
0.80137f, 0.363638f, 0.131434f,
0.835225f, 0.387384f, 0.122385f,
0.86908f, 0.411129f, 0.113336f,
